bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0617,0.07823947,80.27,79.02,81.95
0618,0.07647749,78.47,77.24,80.21
0619,0.07112008,72.97,71.83,74.93
0620,0.08985718,92.19,90.76,93.39
0621,0.08049314,82.59,81.3,84.17
0622,0.07223594,74.11,72.96,76.03
0623,0.06731825,69.07,67.99,71.19
0624,0.0762183,78.2,76.98,79.96
0625,0.06898346,70.78,69.67,72.83
0626,0.06094704,62.53,61.56,64.91
0627,0.08969673,92.03,90.59,93.24
0628,0.0946355,97.1,95.58,98.1
0629,0.07222324,74.1,72.95,76.02
0630,0.08323609,85.4,84.07,86.87
0631,0.08898547,91.3,89.88,92.53
0632,0.06489152,66.58,65.54,68.8
0633,0.07803374,80.06,78.81,81.74
0634,0.06831183,70.09,68.99,72.17
0635,0.09675297,99.27,97.72,100.19
0636,0.0659284,67.64,66.59,69.82
0637,0.05774768,59.25,58.33,61.76
0638,0.06800396,69.77,68.68,71.86
0639,0.06802874,69.8,68.71,71.89
0640,0.08470457,86.91,85.55,88.32
0641,0.06811927,69.89,68.8,71.98
0642,0.08652651,88.78,87.39,90.11
0643,0.0807475,82.85,81.55,84.42
0644,0.0729008,74.8,73.63,76.69
0645,0.06447195,66.15,65.12,68.38
0646,0.07383286,75.75,74.57,77.61
0647,0.07036026,72.19,71.06,74.18
0648,0.06209784,63.71,62.72,66.04
0649,0.08285513,85.01,83.68,86.49
0650,0.07994805,82.03,80.75,83.63
0651,0.06454821,66.23,65.19,68.46
0652,0.06457279,66.25,65.22,68.48
0653,0.07369108,75.61,74.43,77.47
0654,0.08581012,88.04,86.67,89.41
0655,0.07100427,72.85,71.71,74.82
0656,0.06032979,61.9,60.93,64.3
0657,0.07773531,79.76,78.51,81.45
