stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
160.4,66.9,99.4,106.3,97.5,59.3,19.8,35.9,49.9,37.1,29.6
160.3,82.9,113.1,113.1,112.7,66.0,19.3,37.1,50.4,36.6,33.1
171.2,76.5,96.6,111.5,93.0,67.5,23.4,37.2,53.0,40.4,33.5
162.8,67.1,90.8,100.6,90.7,61.3,21.0,36.6,50.2,34.2,31.2
152.0,58.9,98.5,100.4,91.9,60.3,20.0,37.3,46.5,33.9,32.3
164.0,61.5,89.6,100.7,83.9,61.2,21.0,37.2,51.4,37.3,29.3
161.6,52.9,86.4,93.4,69.7,54.6,20.7,35.6,49.4,32.8,26.6
168.4,84.7,109.5,115.8,108.8,67.4,21.8,37.8,54.0,39.1,37.0
164.9,59.6,89.0,97.1,80.5,57.5,21.7,36.2,49.3,36.5,27.9
167.7,66.6,96.5,101.8,84.4,61.2,21.2,34.6,53.1,35.7,30.1
165.3,67.6,95.8,101.1,91.5,58.6,21.2,36.8,51.4,36.7,32.9
163.8,65.8,92.6,104.6,86.2,64.1,20.7,35.1,50.1,37.3,31.8
164.6,59.6,87.8,103.5,83.5,60.5,21.1,34.7,50.3,34.5,27.5
161.9,73.5,95.1,107.9,100.0,63.9,22.7,35.4,48.3,38.2,34.6
153.0,55.6,85.8,99.7,78.9,61.4,19.0,35.8,46.3,35.3,29.5
160.3,56.1,87.0,97.5,77.7,59.0,20.0,35.1,51.3,33.5,28.3
168.0,56.0,87.5,92.5,79.6,55.1,19.8,37.5,53.2,34.2,26.3
160.2,87.1,113.9,114.2,101.7,70.1,22.9,38.7,48.0,43.1,38.6
144.7,73.6,106.4,115.2,107.4,73.2,20.8,35.9,43.1,37.2,34.0
162.7,61.3,92.3,92.1,68.8,60.5,21.9,37.0,51.1,38.6,30.0
159.4,50.5,86.1,92.1,71.3,51.5,20.3,37.5,48.8,32.4,26.8
168.8,82.3,105.7,109.2,103.5,64.6,22.0,39.4,52.1,39.2,32.5
154.7,56.1,89.6,94.2,82.7,56.0,19.4,36.9,46.2,32.0,28.2
162.1,75.4,99.1,108.2,95.0,64.6,21.7,37.7,49.6,37.5,30.9
162.5,59.3,90.4,100.6,80.5,56.4,20.0,38.0,49.5,35.0,26.6
159.7,69.5,98.1,102.0,89.6,59.9,23.1,35.8,49.8,41.2,31.2
160.2,82.0,104.6,111.8,90.5,72.4,23.8,37.0,50.3,43.1,35.5
161.4,58.3,95.2,94.3,83.3,57.8,20.6,36.8,50.7,34.0,29.7
174.3,92.0,106.7,120.6,105.5,71.6,22.7,38.8,52.3,39.6,34.6
