Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1849,90.93,26.59704382,439,408,440.0,1147.0,943.0,1024,702,266,904.0,616,873,24.0,30.0,0.502433748,0.822144725,1.085896076
1576,56.24,22.64294365,395,334,391.0,994.0,739.0,800,549,239,725.0,507,762,18.0,26.0,0.516497462,0.743460765,1.082543978
1623,69.61,26.42619249,438,398,410.0,1044.0,732.0,930,621,243,768.0,525,793,23.0,27.0,0.517560074,0.701149425,1.270491803
1691,67.8,23.71059643,438,369,416.0,1034.0,738.0,933,621,242,800.0,528,845,23.0,17.5,0.526315789,0.713733075,1.264227642
1663,84.58,30.58321814,449,412,459.0,1151.0,825.0,1068,703,242,790.0,535,812,34.0,46.0,0.515935057,0.716768028,1.294545455
1645,92.06,34.02038045,437,425,459.0,1214.0,1062.0,1116,689,242,800.0,550,839,41.0,44.0,0.490577508,0.874794069,1.050847458
1567,54.42,22.16259165,388,370,364.0,939.0,716.0,927,539,215,688.0,458,739,22.5,17.0,0.5488194,0.762513312,1.294692737
1600,56.01,21.87890625,404,361,366.0,942.0,639.0,913,543,227,714.0,473,749,14.0,9.0,0.543125,0.678343949,1.428794992
1654,55.78,20.38954336,404,340,361.0,917.0,643.0,882,514,230,749.0,492,759,18.0,10.0,0.531438936,0.701199564,1.371695179
1508,55.33,24.33088954,413,349,424.0,1058.0,732.0,834,608,222,688.0,482,774,14.5,10.0,0.525198939,0.691871456,1.139344262
1508,54.2,23.83398181,372,342,375.0,935.0,676.0,850,556,228,669.0,457,715,27.5,18.0,0.547745358,0.722994652,1.25739645
1585,102.95,40.97960971,478,472,501.0,1300.0,955.0,1117,831,252,713.0,501,821,56.0,56.0,0.528706625,0.734615385,1.169633508
1703,66.67,22.98799845,426,362,407.0,1020.0,731.0,907,592,245,829.0,543,853,22.0,26.0,0.512037581,0.716666667,1.240766074
1678,72.11,25.61011818,439,361,412.0,1076.0,764.0,950,637,240,793.0,536,847,30.0,29.0,0.513706794,0.710037175,1.243455497
1612,63.04,24.2597393,396,351,417.0,1043.0,720.0,847,615,237,734.0,492,749,15.5,22.0,0.529156328,0.690316395,1.176388889
1702,73.47,25.36243391,437,378,420.0,1078.0,694.0,963,658,250,754.0,509,806,30.0,19.0,0.544065805,0.643784787,1.387608069
1616,65.08,24.92096363,408,374,395.0,1009.0,819.0,953,569,232,743.0,497,763,17.5,22.0,0.527846535,0.811694747,1.163614164
1728,82.31,27.56545246,445,400,474.0,1140.0,842.0,1021,665,245,805.0,542,806,37.5,28.0,0.519097222,0.738596491,1.212589074
1620,82.31,31.36335924,436,423,434.0,1110.0,939.0,1145,678,247,714.0,503,755,38.0,39.0,0.541358025,0.845945946,1.219382322
1744,93.2,30.64241225,432,421,451.0,1148.0,942.0,1145,688,269,824.0,561,826,35.0,38.5,0.517775229,0.820557491,1.215498938
1622,49.21,18.70473955,396,314,380.0,933.0,628.0,820,512,223,745.0,506,790,20.0,16.0,0.528360049,0.673097535,1.305732484
1675,77.78,27.72287815,447,378,423.0,1090.0,836.0,987,665,241,797.0,538,839,20.0,21.0,0.508059701,0.766972477,1.18062201
1723,120.41,40.5594448,496,502,537.0,1360.0,1149.0,1304,780,264,783.0,547,837,56.0,59.0,0.543238537,0.844852941,1.134899913
1735,77.78,25.8386001,439,377,483.0,1166.0,747.0,967,668,248,794.0,547,848,27.0,18.5,0.521037464,0.640651801,1.294511379
1523,69.39,29.91555613,430,366,424.0,1053.0,782.0,979,663,245,678.0,470,755,31.0,25.0,0.548260013,0.742640076,1.251918159
1608,58.28,22.53966486,435,357,391.0,1014.0,696.0,916,573,236,763.0,509,813,12.0,13.5,0.501243781,0.686390533,1.316091954
1654,59.86,21.88092624,395,336,401.0,1044.0,702.0,832,602,236,752.0,518,775,23.0,11.0,0.523579202,0.672413793,1.185185185
1816,91.61,27.77865377,468,416,465.0,1182.0,803.0,995,711,280,865.0,594,903,10.0,18.0,0.509361233,0.679357022,1.239103362
1733,72.56,24.16017906,421,367,437.0,1060.0,715.0,877,614,267,840.0,570,851,21.0,11.0,0.504327755,0.674528302,1.226573427
1567,68.48,27.8885387,435,375,410.0,1075.0,780.0,927,641,235,707.0,478,763,29.5,20.0,0.542437779,0.725581395,1.188461538
1606,56.92,22.06855053,411,357,372.0,978.0,729.0,833,551,233,779.0,524,807,17.5,17.5,0.494396015,0.745398773,1.14266118
