weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
79.1,173.7,38.2,93.6,88.9,108.3,105.3,66.7,42.6,43.8,26.0,28.3,16.3,16.5,54.9,24.2,82.9,45.3,39.7,23.9,57.7,39.8,123.04719101123597
53.6,157.6,32.8,83.4,79.0,97.4,97.2,56.0,36.4,35.3,22.0,23.8,15.2,13.6,50.5,23.3,73.4,40.4,37.1,20.6,54.6,34.8,115.70513833992095
63.9,162.6,36.0,93.1,81.1,96.6,103.8,59.6,38.6,37.8,20.7,25.7,15.2,13.6,54.8,25.9,79.0,40.7,39.8,24.5,54.9,36.9,132.7537037037037
62.8,160.4,38.8,98.1,83.1,99.1,108.2,58.2,37.3,34.8,19.0,24.7,14.3,15.3,52.9,24.1,78.2,40.5,37.8,27.0,57.2,38.0,142.62765957446808
78.8,167.3,36.9,103.7,95.8,106.9,106.9,62.1,42.2,42.3,22.8,25.3,15.3,14.6,54.7,24.7,78.4,44.5,40.4,27.8,57.5,36.7,141.8505016722408
59.8,164.2,35.9,98.1,76.1,95.5,97.0,57.0,38.0,35.8,22.7,25.1,14.9,12.5,53.8,23.6,77.4,41.9,38.6,24.4,55.2,35.3,124.25999999999999
75.2,153.8,37.6,105.2,107.0,107.9,110.7,67.5,40.6,39.6,21.4,27.3,15.4,13.5,50.9,23.2,72.4,45.5,36.8,27.8,58.3,37.7,139.786301369863
68.6,157.4,39.1,102.8,92.3,100.5,107.9,60.5,36.2,36.0,20.9,27.6,15.1,13.7,52.7,24.5,73.3,45.3,39.2,25.6,56.0,36.7,136.37441077441076
66.8,163.7,37.6,94.6,94.9,105.5,99.9,60.5,39.3,36.0,20.3,27.7,15.3,14.0,54.7,24.6,77.8,46.0,40.4,25.1,56.0,35.3,124.47368421052633
61.3,162.0,35.6,93.0,85.8,97.6,104.6,58.9,35.1,35.7,20.3,26.0,15.0,14.8,53.8,24.1,75.3,43.7,40.8,24.2,55.2,36.1,119.28260869565217
74.2,173.3,35.1,93.7,85.9,104.1,106.0,60.0,39.7,39.3,24.3,26.6,16.5,14.7,57.2,26.7,82.4,43.5,41.0,24.6,57.6,38.0,127.68274647887324
52.2,152.6,34.8,81.0,72.1,87.6,97.9,53.1,36.5,34.8,21.4,26.0,15.2,13.6,50.6,23.1,71.4,41.5,35.2,21.5,57.8,35.2,110.60240963855422
76.7,173.2,40.4,99.1,90.8,106.9,105.3,65.6,42.2,39.0,21.3,29.0,15.7,13.8,57.5,25.9,82.0,44.7,41.0,27.5,57.3,37.1,134.05527272727272
66.1,162.4,39.1,98.5,88.0,103.0,107.8,58.6,35.7,34.5,20.4,24.7,15.3,15.2,56.3,25.3,75.5,41.4,35.2,26.5,56.0,37.8,138.5677966101695
50.5,150.7,35.2,84.4,75.9,90.2,95.2,54.2,34.8,34.2,19.3,26.5,15.0,13.5,48.1,21.5,69.4,38.6,40.0,21.3,52.8,34.2,119.0520325203252
63.7,156.0,38.2,96.5,91.9,103.3,98.3,61.8,38.0,37.3,21.1,26.0,14.6,12.9,51.2,23.4,73.2,42.0,35.9,25.6,54.3,34.7,121.14568345323741
66.6,164.0,36.5,98.5,90.8,98.0,104.3,60.7,36.4,37.3,21.6,27.7,15.2,13.9,54.1,24.6,80.6,42.2,41.8,25.4,59.8,36.9,144.10185185185185
61.0,167.5,35.5,86.2,73.1,96.5,101.1,57.2,37.6,36.2,22.1,26.2,15.4,15.8,55.6,25.8,80.6,42.7,38.7,21.7,56.6,36.5,112.15984555984558
58.1,152.6,35.2,86.3,82.0,97.5,98.9,59.7,39.3,36.2,22.0,24.5,15.3,13.1,51.5,23.2,69.6,37.7,37.0,22.6,55.0,35.0,109.6593984962406
60.9,162.3,36.1,87.0,82.1,93.2,101.7,60.1,39.4,36.3,21.2,26.1,15.1,15.4,54.3,24.4,77.0,44.5,39.6,21.0,57.5,37.0,117.11538461538461
57.5,158.4,33.7,81.5,74.0,105.4,97.1,63.4,37.8,37.2,20.1,25.0,13.9,13.9,51.2,23.2,73.8,38.9,35.1,19.9,56.8,35.4,115.05882352941178
79.7,167.1,38.3,105.7,102.4,110.0,106.6,66.4,41.6,39.8,22.4,27.6,15.8,15.2,55.4,24.1,76.8,44.9,38.4,29.7,56.3,38.4,145.98426573426573
74.5,155.2,37.1,113.7,93.2,109.0,104.4,66.5,40.7,36.9,20.4,27.6,15.8,13.1,51.4,22.0,69.9,43.3,39.0,31.7,54.2,33.8,173.49777777777777
61.4,163.3,36.8,87.4,82.7,98.1,97.7,58.3,40.2,36.8,20.8,26.2,15.1,12.7,53.1,24.3,73.8,41.6,38.7,23.2,56.7,35.9,114.62846153846154
67.7,153.0,36.0,100.4,89.6,106.1,104.2,63.4,39.7,38.4,21.7,26.0,15.9,13.4,49.2,23.0,71.5,36.7,37.0,28.2,56.5,35.6,111.95683453237409
